Rank;Ticker;Company;Industry;Market cap ($M);
377;VAR;Varian Medical Systems;Medical Instruments & Supplies;16176;
378;AKAM;Akamai Technologies;Software – Infrastructure;16096;
379;CMS;CMS Energy;Utilities – Regulated Electric;15998;
380;IT;Gartner;Information Technology Services;15961;
381;MAA;Mid-America Apartment;REIT – Residential;15833;
382;EXPD;Expeditors International;Integrated Freight & Logistics;15817;
383;STE;Steris;Medical Instruments & Supplies;15576;
384;JBHT;JB Hunt Transport Servs;Integrated Freight & Logistics;15490;
385;DRE;Duke Realty;REIT – Industrial;15394;
386;EXR;Extra Space Storage;REIT – Industrial;15393;
387;NTAP;NetApp;Computer Hardware;15379;
388;CE;Celanese;Chemicals;15326;
389;HBAN;Huntington Bancshares;Banks – Regional;15309;
390;WAB;Westinghouse Air Brake;Railroads;15305;
391;CAH;Cardinal Health;Medical Distribution;15196;
392;LDOS;Leidos Holdings;Information Technology Services;14974;
393;EMN;Eastman Chemical;Chemicals;14944;
394;AVY;Avery Dennison;Business Equipment & Supplies;14940;
395;IEX;IDEX;Specialty Industrial Machinery;14935;
396;DPZ;Domino’s Pizza;Restaurants;14889;
397;PFG;Principal Financial Group;Insurance – Diversified;14854;
398;J;Jacobs Engineering Group;Engineering & Construction;14728;
399;GPC;Genuine Parts;Specialty Retail;14705;
400;CINF;Cincinnati Financial;Insurance – Property & Casualty;14612;
401;ABMD;Abiomed;Medical Devices;14596;
402;BXP;Boston Properties;REIT – Office;14438;
403;TDY;Teledyne Technologies;Scientific & Technical Instruments;14424;
404;UAL;United Airlines Holdings;Airlines;14253;
405;BEN;Franklin Resources;Asset Management;14191;
406;OMC;Omnicom Group;Advertising Agencies;14165;
407;FMC;FMC;Agricultural Inputs;14106;
408;NWSA;News;Broadcasting;14052;
409;DVN;Devon Energy;Oil & Gas E&P;14047;
410;WYNN;Wynn Resorts;Resorts & Casinos;14037;
411;CPB;Campbell Soup;Packaged Foods;13968;
412;NWS;News;Broadcasting;13832;
413;MAS;Masco;Building Products & Equipment;13751;
414;LB;L Brands;Apparel Retail;13685;
415;IPGP;IPG Photonics;Semiconductor Equipment & Materials;13670;
416;POOL;Pool;Leisure;13385;
417;L;Loews;Insurance – Property & Casualty;13023;
418;LUMN;Lumen Technologies;Telecom Services;12935;
419;FFIV;F5 Networks;Software – Infrastructure;12844;
420;SJM;JM Smucker;Packaged Foods;12621;
421;PKG;Packaging Corp of America;Packaging & Containers;12615;
422;UDR;UDR;REIT – Residential;12515;
423;NLOK;NortonLifeLock;Software – Infrastructure;12446;
424;PHM;PulteGroup;Residential Construction;12408;
425;WHR;Whirlpool;Furnishings, Fixtures & Appliances;12356;
426;HAS;Hasbro;Leisure;12344;
427;EVRG;Evergy;Utilities – Regulated Electric;12343;
428;HWM;Howmet Aerospace;Specialty Industrial Machinery;12305;
429;MHK;Mohawk Industries;Furnishings, Fixtures & Appliances;12182;
430;WRB;WR Berkley;Insurance – Property & Casualty;12093;
431;CHRW;C.H. Robinson Worldwide;Integrated Freight & Logistics;12030;
432;FBHS;Fortune Brands Home;Furnishings, Fixtures & Appliances;11947;
433;LNT;Alliant Energy;Utilities – Regulated Electric;11942;
434;XRAY;Dentsply Sirona;Medical Instruments & Supplies;11852;
435;TXT;Textron;Aerospace & Defense;11740;
436;CNP;CenterPoint Energy;Utilities – Regulated Gas;11735;
437;ATO;Atmos Energy;Utilities – Regulated Gas;11679;
438;MOS;Mosaic;Agricultural Inputs;11618;
439;WRK;WestRock;Packaging & Containers;11512;
440;LKQ;LKQ;Auto Parts;11400;
441;DVA;DaVita;Medical Care Facilities;11341;
442;LW;Lamb Weston Hldgs;Packaged Foods;11261;
443;JKHY;Jack Henry & Associates;Information Technology Services;11124;
444;AAL;American Airlines Group;Airlines;11073;
445;HST;Host Hotels & Resorts;REIT – Hotel & Motel;11009;
446;FANG;Diamondback Energy;Oil & Gas E&P;10897;
447;UHS;Universal Health Services;Medical Care Facilities;10895;
448;TPR;Tapestry;Luxury Goods;10835;
449;PWR;Quanta Services;Engineering & Construction;10776;
450;BWA;BorgWarner;Auto Parts;10704;
451;AAP;Advance Auto Parts;Specialty Retail;10551;
452;IVZ;Invesco;Asset Management;10491;
453;LNC;Lincoln National;Insurance – Life;10466;
454;SNA;Snap-on;Tools & Accessories;10220;
455;ALLE;Allegion;Security & Protection Services;10106;
456;NWL;Newell Brands;Household & Personal Products;10093;
457;HSIC;Henry Schein;Medical Distribution;10076;
458;NRG;NRG Energy;Utilities – Independent Power Producers;9912;
459;WU;The Western Union;Credit Services;9825;
460;GL;Globe Life;Insurance – Life;9814;
461;IPG;Interpublic Gr of Cos;Advertising Agencies;9699;
462;CF;CF Industries Holdings;Agricultural Inputs;9677;
463;TAP;Molson Coors Beverage;Beverages – Brewers;9646;
464;RE;Everest Re Group;Insurance – Reinsurance;9609;
465;AOS;A.O. Smith;Specialty Industrial Machinery;9563;
466;IRM;Iron Mountain;REIT – Specialty;9500;
467;UAA;Under Armour;Apparel Manufacturing;9433;
468;UA;Under Armour;Apparel Manufacturing;9310;
469;CMA;Comerica;Banks – Regional;9179;
470;PNR;Pentair;Specialty Industrial Machinery;9118;
471;REG;Regency Centers;REIT – Retail;8861;
472;GPS;Gap;Apparel Retail;8703;
473;NI;NiSource;Utilities – Regulated Gas;8575;
474;PNW;Pinnacle West Capital;Utilities – Regulated Electric;8558;
475;RHI;Robert Half International;Staffing & Employment Services;8456;
476;ZION;Zions Bancorp;Banks – Regional;8417;
477;NLSN;Nielsen Holdings;Consulting Services;8372;
478;RL;Ralph Lauren;Apparel Manufacturing;8172;
479;JNPR;Juniper Networks;Communication Equipment;8023;
480;NCLH;Norwegian Cruise Line;Travel Services;7950;
481;FRT;Federal Realty Investment;REIT – Retail;7789;
482;KIM;Kimco Realty;REIT – Retail;7624;
483;MRO;Marathon Oil;Oil & Gas E&P;7563;
484;ALK;Alaska Air Group;Airlines;7412;
485;AIZ;Assurant;Insurance – Specialty;7399;
486;COG;Cabot Oil & Gas;Oil & Gas E&P;7297;
487;FLIR;FLIR Systems;Scientific & Technical Instruments;7192;
488;VNO;Vornado Realty;REIT – Office;7152;
489;HII;Huntington Ingalls Indus;Aerospace & Defense;7060;
490;APA;Apache;Oil & Gas E&P;7013;
491;PVH;PVH;Apparel Manufacturing;6937;
492;SEE;Sealed Air;Packaging & Containers;6627;
493;PBCT;People’s United Finl;Banks – Regional;6611;
494;DXC;DXC Technology;Information Technology Services;6590;
495;HBI;Hanesbrands;Apparel Manufacturing;6285;
496;PRGO;Perrigo;Drug Manufacturers – Specialty & Generic;6057;
497;NOV;NOV;Oil & Gas Equipment & Services;5636;
498;LEG;Leggett & Platt;Furnishings, Fixtures & Appliances;5588;
499;VNT;Vontier;Scientific & Technical Instruments;5548;
500;HFC;HollyFrontier;Oil & Gas Refining & Marketing;5403;
501;UNM;Unum;Insurance – Life;5204;
502;FLS;Flowserve;Specialty Industrial Machinery;5102;
503;XRX;Xerox Holdings;Information Technology Services;4750;
504;SLG;SL Green Realty;REIT – Office;4287;
